dataset,classifier,metric,experimento,experimento_num,valor,author
Car Evaluation,naive_bayes,f1_score,v7,7,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v8,8,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v9,9,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v10,10,0.6744186046511628,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v11,11,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v12,12,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v13,13,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v14,14,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v15,15,0.6301369863013699,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v16,16,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v17,17,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v18,18,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v19,19,0.7435897435897436,vitor-oliveira
Car Evaluation,naive_bayes,f1_score,v20,20,0.7435897435897436,vitor-oliveira
Car Evaluation,perceptron,f1_score,v1,1,0.7047619047619047,vitor-oliveira
Car Evaluation,perceptron,f1_score,v2,2,0.7047619047619047,vitor-oliveira
Car Evaluation,perceptron,f1_score,v3,3,0.7047619047619047,vitor-oliveira
Car Evaluation,perceptron,f1_score,v4,4,0.7047619047619047,vitor-oliveira
Car Evaluation,perceptron,f1_score,v5,5,0.7047619047619047,vitor-oliveira
Car Evaluation,perceptron,f1_score,v6,6,0.1791044776119403,vitor-oliveira
Car Evaluation,perceptron,f1_score,v7,7,0.1791044776119403,vitor-oliveira
Car Evaluation,perceptron,f1_score,v8,8,0.1791044776119403,vitor-oliveira
Car Evaluation,perceptron,f1_score,v9,9,0.1791044776119403,vitor-oliveira
